#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                   9.484              45.835             -36.352
rxn_365                 27.955              55.820             -27.865
rxn_500                 17.351              49.064             -31.712
rxn_635                 22.357              45.206             -22.848
rxn_657                 14.265              50.303             -36.037
rxn_795                 23.245              35.223             -11.978
rxn_816                  9.921              20.466             -10.545
rxn_853                 24.417              26.234              -1.817
rxn_1024                16.635              25.548              -8.913
rxn_1083                22.302              26.771              -4.469
rxn_1093                27.892              28.457              -0.565
rxn_1217                19.641              26.557              -6.917
rxn_1424                27.453              28.199              -0.746
rxn_1441                26.217              31.061              -4.845
rxn_1487                 7.575              55.914             -48.339
rxn_1500                 6.706              56.845             -50.140
rxn_1536                11.056              38.655             -27.599
rxn_1606                14.137              42.985             -28.847
rxn_1708                13.019              40.327             -27.309
rxn_1814                11.138              46.016             -34.879
rxn_1909                12.785              39.817             -27.032
rxn_2012                11.535              43.488             -31.953
rxn_2478                11.379              49.921             -38.542
rxn_2482                11.724              49.201             -37.477
rxn_2551                 7.487              49.457             -41.970
rxn_3185                23.398              38.901             -15.503
rxn_3480                21.608              38.156             -16.548
rxn_3483                24.746              37.962             -13.216
rxn_3536                25.149              38.202             -13.052
rxn_4392                 1.560              20.172             -18.612
rxn_4701                 2.508              28.553             -26.045
rxn_5245                27.517              34.403              -6.886
rxn_5345                30.547              39.461              -8.914
rxn_5374                28.749              36.086              -7.337
rxn_5534                33.729              36.207              -2.478
rxn_5575                26.303              44.056             -17.753
rxn_5894                16.823              27.577             -10.754
rxn_5947                25.250              34.435              -9.185
rxn_5964                22.553              37.218             -14.665
rxn_5974                22.333              41.107             -18.775
rxn_6105                29.041              39.289             -10.248
rxn_6117                21.028              35.142             -14.114
rxn_6137                14.839              43.367             -28.528
rxn_6180                19.640              29.717             -10.076
rxn_6192                28.437              39.706             -11.269
rxn_6371                43.743              58.180             -14.437
rxn_6424                27.948              18.793               9.155
rxn_6612                28.381              15.001              13.380
rxn_7236                28.575              30.437              -1.862
rxn_7406                67.307              34.076              33.232
rxn_7888                27.348              65.827             -38.479
rxn_7911                33.543              68.398             -34.855
