#    R. ID             FORWARD             REVERSE            REACTION
rxn_365                 28.014              65.841             -37.828
rxn_635                 24.142              56.950             -32.808
rxn_657                 13.863              59.692             -45.828
rxn_853                 20.364              31.626             -11.262
rxn_1024                14.337              31.774             -17.437
rxn_1093                27.248              34.378              -7.130
rxn_1217                17.947              33.246             -15.299
rxn_1424                26.168              34.357              -8.189
rxn_1441                26.150              37.156             -11.006
rxn_1487                 8.748              59.350             -50.602
rxn_1708                11.989              51.041             -39.052
rxn_1814                 8.365              55.259             -46.894
rxn_1909                11.780              50.649             -38.869
rxn_2012                10.160              53.058             -42.897
rxn_2482                 9.308              56.306             -46.998
rxn_3483                21.681              44.251             -22.570
rxn_3536                21.194              45.234             -24.040
rxn_4392                 7.804              36.588             -28.784
rxn_5245                35.415              36.622              -1.208
rxn_5374                34.918              38.425              -3.508
rxn_5534                36.660              35.431               1.229
rxn_5964                29.204              46.334             -17.130
rxn_5974                29.285              50.046             -20.761
rxn_6192                35.953              49.558             -13.605
rxn_6371                43.761              65.073             -21.312
rxn_6612                28.370              22.033               6.338
rxn_7236                26.758              35.028              -8.270
rxn_7406                66.858              43.391              23.467
rxn_7888                25.575              74.556             -48.981
rxn_7911                31.311              76.102             -44.792
